#NR_SVs chm13
#chr	outermost_start	outermost_stop	variant_count	variant_type	method	analysis	platform	study	variant	clinical_assertion	clinvar_accession	bin_size
chr1	11278596	12270593	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15755717	Pathogenic	RCV000790593.1;VCV000638125.1	medium
chr1	11503942	11512837	4	copy_number_gain;duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15130134;nssv15130136;nssv15130137;nssv15119731	Pathogenic	RCV000626491.2;VCV000523237.2;RCV000626494.2;VCV000523240.2;RCV000626495.2;VCV000523241.2;RCV000015441.29;VCV000014365.1	medium
chr1	11504745	11511230	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17974928	Pathogenic	RCV001925790.3;VCV001413244.5	medium
chr1	11504755	11511220	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15770230	Pathogenic	RCV000800656.2;VCV000646377.2	medium
chr1	11536669	11536844	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973581	Likely pathogenic	RCV002024653.2;VCV001519497.2	medium
chr1	11536669	11541578	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15129436	Likely pathogenic	RCV000654035.3;VCV000543300.2	medium
chr1	11536679	11541568	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172224	Likely pathogenic	RCV001378626.1;VCV001067379.1	medium
chr1	11542885	11543250	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973810	Likely pathogenic	RCV002038312.3;VCV001519508.3	medium
chr1	16833031	16843578	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172331	Likely pathogenic	RCV001379640.7;VCV001068178.12	medium
chr1	16838167	16843582	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17968984	Likely pathogenic	RCV002016090.4;VCV001508419.9	medium
chr1	16843477	16843582	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789539	Likely pathogenic	RCV003113179.3;VCV002424598.8	medium
chr1	16855196	16855323	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789538	Likely pathogenic	RCV003113178.3;VCV002424597.8	medium
chr1	23694866	23695011	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18791274	Likely pathogenic	RCV003119419.2;VCV002422467.2	medium
chr1	26512966	26621795	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17649900	Likely pathogenic	RCV001543361.1;VCV001184821.1	medium
chr1	30190365	33776642	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16206477	Likely pathogenic	RCV001005079.1;VCV000814067.1	large
chr1	30941449	36819839	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15170323	Pathogenic	RCV000748949.2;VCV000612313.2	large
chr1	30974242	32260076	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146383	Pathogenic	RCV000051802.6;VCV000058059.1	large
chr1	32679763	47304591	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17969317	Pathogenic	RCV002052781.3;VCV001526762.3	large
chr1	35797112	36685491	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15136893	Likely pathogenic	RCV000138892.4;VCV000149964.2	medium
chr1	39228632	40770188	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15145714	Pathogenic	RCV000051815.4;VCV000058072.1	large
chr1	39958834	39960864	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973872	Likely pathogenic	RCV002043094.3;VCV001510545.3	medium
chr1	43662878	43770547	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16212562	Likely pathogenic	RCV001033515.5;VCV000833055.5	medium
chr1	45205937	45206077	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17968988	Likely pathogenic	RCV002020917.1;VCV001515203.1	medium
chr1	45205941	45206073	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15151972	Likely pathogenic	RCV000640423.1;VCV000533334.1	medium
chr1	46067684	46068015	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15770728	Likely pathogenic	RCV000815909.4;VCV000658979.5	medium
chr1	52669044	67217430	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15145992	Likely pathogenic	RCV000141758.4;VCV000153325.2	large
chr1	54879412	54945747	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172318	Likely pathogenic	RCV001379486.6;VCV001068052.7	medium
chr1	61801510	66323326	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146386	Pathogenic	RCV000051824.5;VCV000058081.1	large
chr1	61847621	71068549	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15155709	Pathogenic	RCV000684577.1;VCV000565102.1	large
chr1	63272176	63272280	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16214064	Likely pathogenic	RCV001032566.3;VCV000832047.3	medium
chr1	75570179	75576783	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973774	Likely pathogenic	RCV002036705.2;VCV001525462.2	medium
chr1	75582449	75582597	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15161709	Likely pathogenic	RCV000633661.3;VCV000528456.2	medium
chr1	80176388	88868106	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16255170	Likely pathogenic	RCV001259073.1;VCV000979897.1	large
chr1	83297635	103546781	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15148057	Pathogenic	RCV000135654.5;VCV000146350.2	large
chr1	85043026	85250747	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18329604	Likely pathogenic	RCV002472538.1;VCV001807732.1	medium
chr1	93890954	93893763	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789061	Likely pathogenic	RCV003111088.2;VCV002422950.2	medium
chr1	99722875	99722876	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17976467	Likely pathogenic	RCV002254502.5;VCV001691429.5	small
chr1	102916034	103438507	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16206509	Pathogenic	RCV001005125.1;VCV000814113.1	medium
chr1	102923490	102923692	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18788198	Likely pathogenic	RCV003107514.2;VCV002424281.2	medium
chr1	109640371	109640372	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15223021	Pathogenic	RCV000761397.1;VCV000623272.1	small
chr1	109766775	118663421	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146998	Pathogenic	RCV000051827.4;VCV000058084.1	large
chr1	116067594	120143318	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146999	Pathogenic	RCV000051831.4;VCV000058088.1	large
chr1	144718740	145158670	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15145435	Likely pathogenic	RCV000754129.1;VCV000545145.1	medium
chr1	144718740	145166501	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15145190	Likely pathogenic	RCV000754131.1;VCV000545147.1	medium
chr1	144718741	145135840	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15129131	Likely pathogenic	RCV000515605.3;VCV000446354.3	medium
chr1	144724861	145186611	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18842012	Pathogenic	RCV003329510.1;VCV002580306.1	medium
chr1	144787170	145164862	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18326357	Pathogenic	RCV002292701.1;VCV001711161.1	medium
chr1	144804940	145283233	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133904	Pathogenic	RCV000135354.5;VCV000146028.3	medium
chr1	144808412	145200981	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15132907	Likely pathogenic	RCV000135485.5;VCV000146163.3	medium
chr1	144816468	145163939	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15124526	Likely pathogenic	RCV000239876.1;VCV000253350.1	medium
chr1	144816468	145183038	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15123476	Likely pathogenic	RCV000239850.1;VCV000253352.1	medium
chr1	144816468	145263991	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15123505	Likely pathogenic	RCV000239925.1;VCV000253342.1	medium
chr1	144816527	145163939	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15139372	Pathogenic	RCV000448218.3;VCV000394029.3	medium
chr1	144816527	145271911	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15141698	Pathogenic	RCV000446572.3;VCV000394477.3	medium
chr1	144816527	145330438	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15140423	Pathogenic	RCV000446960.3;VCV000393816.3	medium
chr1	146303570	148454276	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15137789	Pathogenic	RCV000142509.5;VCV000154442.2	large
chr1	146313176	148453162	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133903	Pathogenic	RCV000135345.3;VCV000146019.1	large
chr1	146303570	148453162	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15135435	Likely pathogenic	RCV000136532.5;VCV000147326.3	large
chr1	146255029	147844262	7	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15132736;nssv15137037;nssv15137537;nssv15138714;nssv15138870;nssv15138883;nssv15139624	Pathogenic;Likely pathogenic	RCV000134219.5;VCV000144815.3;RCV000142212.5;VCV000154049.2;RCV000141896.4;VCV000153549.2;RCV000143128.5;VCV000155061.2;RCV000143509.4;VCV000155442.2;RCV000143533.4;VCV000155466.2;RCV000143646.4;VCV000155579.2	large
chr1	146573217	147820590	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15132303	Pathogenic	RCV000050917.6;VCV000057249.1	large
chr1	146519682	147820590	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133197	Pathogenic	RCV000053192.7;VCV000059355.2	large
chr1	146455238	147820590	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15135877	Pathogenic	RCV000138637.4;VCV000149649.2	large
chr1	146447441	147820590	3	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15132196;nssv15132666;nssv15132914	Pathogenic;Likely pathogenic	RCV000052282.10;VCV000032105.3;RCV000051058.12;VCV000033743.2;RCV000135513.5;VCV000146196.3	large
chr1	146391762	147820590	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15132693	Pathogenic	RCV000134089.4;VCV000144623.2	large
chr1	146370382	147820590	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15132503	Likely pathogenic	RCV000050515.9;VCV000035044.3	large
chr1	146362969	147820590	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15134379	Pathogenic	RCV000053193.5;VCV000059356.2	large
chr1	146314700	147820590	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15132949	Pathogenic	RCV000053186.5;VCV000059350.2	large
chr1	146863450	147814105	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18830831	Pathogenic	RCV003236709.1;VCV002506525.1	medium
chr1	146881102	147791850	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15150763	Pathogenic	RCV000512214.3;VCV000443874.3	medium
chr1	146869842	147783601	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15141138	Pathogenic	RCV000510399.2;VCV000442578.2	medium
chr1	146878270	147781683	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16254644	Pathogenic	RCV001260119.2;VCV000980943.2	medium
chr1	146886327	147781682	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18330062	Pathogenic	RCV002473794.1;VCV001808477.1	medium
chr1	146455243	147779005	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15135990	Pathogenic	RCV000137889.4;VCV000148824.2	large
chr1	146451361	147779005	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133958	Pathogenic	RCV000135684.5;VCV000146383.2	large
chr1	146838623	147772460	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15141313	Pathogenic	RCV000448731.3;VCV000393949.3	medium
chr1	146455243	147772460	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15131957	Pathogenic	RCV000133957.10;VCV000144475.3	large
chr1	146455238	147772331	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15136390	Pathogenic/Likely pathogenic	RCV000138851.5;VCV000149909.2	large
chr1	146368667	147758285	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17976225	Pathogenic	RCV002227717.1;VCV001679693.1	large
chr1	146451361	147753647	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15137934	Pathogenic	RCV000142921.4;VCV000154854.2	large
chr1	146478587	147752605	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15134383	Pathogenic	RCV000053204.5;VCV000059367.2	large
chr1	146533887	147708720	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15134384	Pathogenic	RCV000053205.5;VCV000059368.2	large
chr1	146370382	147708720	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15132952	Likely pathogenic	RCV000053206.9;VCV000034960.3	large
chr1	146455238	147651882	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15136885	Pathogenic	RCV000138854.4;VCV000149912.2	large
chr1	146898373	147472588	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15136200	Pathogenic	RCV000136720.3;VCV000147551.1	medium
chr1	146451361	147034187	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15137969	Likely pathogenic	RCV000143021.5;VCV000154954.2	medium
chr1	152916245	155827075	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15150899	Likely pathogenic	RCV000585385.3;VCV000493594.3	large
chr1	153118938	156240782	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15126845	Pathogenic	RCV000451496.2;VCV000402072.2	large
chr1	153703621	156761125	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15148897	Pathogenic	RCV000139902.4;VCV000151159.2	large
chr1	154750727	154752151	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786966	Likely pathogenic	RCV003119884.2;VCV002426443.2	medium
chr1	154750963	154752151	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786967	Likely pathogenic	RCV003119885.2;VCV002426444.2	medium
chr1	155269045	155269241	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790138	Likely pathogenic	RCV003113794.2;VCV002427465.2	medium
chr1	155269045	155276211	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790139	Likely pathogenic	RCV003113795.2;VCV002427466.2	medium
chr1	155272841	155274579	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790140	Pathogenic	RCV003113796.2;VCV002427467.2	medium
chr1	156004928	156010415	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973457	Likely pathogenic	RCV002017235.2;VCV001501130.2	medium
chr1	160026792	160576467	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17956839	Likely pathogenic	RCV001829131.1;VCV001341040.1	medium
chr1	160375660	160571555	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17970197	Likely pathogenic	RCV002053669.3;VCV001527337.3	medium
chr1	160384429	160576641	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18326461	Likely pathogenic	RCV002291531.3;VCV001710509.3	medium
chr1	160443082	160447360	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16213011	Pathogenic	RCV001031032.1;VCV000830394.1	medium
chr1	160443215	160443216	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15140037	Likely pathogenic	RCV000235059.1;VCV000243058.1	small
chr1	160466714	160494231	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15138326	Likely pathogenic	RCV000142250.4;VCV000154115.2	medium
chr1	160478048	160478129	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16213008	Likely pathogenic	RCV001031028.7;VCV000830390.13	medium
chr1	160478058	160478119	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15129865	Likely pathogenic	RCV000467204.1;VCV000417394.1	medium
chr1	160494113	160494296	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789541	Likely pathogenic	RCV003113181.3;VCV002424600.9	medium
chr1	161122549	161122665	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17974013	Likely pathogenic	RCV002050881.3;VCV001348663.3	medium
chr1	161163927	161165455	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16212250	Likely pathogenic	RCV001032936.3;VCV000832449.3	medium
chr1	164269004	179417300	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133508	Pathogenic	RCV000051856.5;VCV000058111.1	large
chr1	168809592	179753500	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15606051	Pathogenic	RCV000767621.1;VCV000625613.1	large
chr1	170396324	186230411	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133873	Pathogenic	RCV000134876.6;VCV000145519.2	large
chr1	172527760	184517183	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15152208	Likely pathogenic	RCV000512520.2;VCV000443359.2	large
chr1	172551462	182092333	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16254832	Pathogenic	RCV001258487.1;VCV000979311.1	large
chr1	173186490	173191656	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172109	Likely pathogenic	RCV001377513.5;VCV001066502.5	medium
chr1	173265090	173265091	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17955560	Pathogenic	RCV001779989.1;VCV001321905.1	small
chr1	173265439	173265440	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17955559	Pathogenic	RCV001779988.1;VCV001321904.1	small
chr1	173266538	173278018	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17955900	Pathogenic	RCV001822079.1;VCV001335876.1	medium
chr1	173270276	173270277	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17955563	Pathogenic	RCV001779980.1;VCV001321896.2	small
chr1	182587703	182596851	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790554	Likely pathogenic	RCV003116390.2;VCV002425375.2	medium
chr1	182926187	182926652	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15131001	Pathogenic	RCV000642284.6;VCV000534658.7	medium
chr1	182936866	182937014	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16214075	Likely pathogenic	RCV001032584.4;VCV000832066.5	medium
chr1	186297434	186517948	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16253908	Likely pathogenic	RCV001258490.1;VCV000979314.1	medium
chr1	192551031	192583607	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172114	Likely pathogenic	RCV001377557.2;VCV001066539.2	medium
chr1	192551037	192583601	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15150573	Likely pathogenic	RCV000458655.1;VCV000417320.1	medium
chr1	196242898	196242899	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16865866	Pathogenic	RCV000030801.4;VCV000037236.2	small
chr1	196606107	196704119	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790346	Likely pathogenic	RCV003114012.2;VCV002427682.2	medium
chr1	201594861	201594862	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17173174	Pathogenic	RCV001194883.1;VCV000929629.1	small
chr1	205607032	205657884	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15130092	Likely pathogenic	RCV000585850.1;VCV000495283.1	medium
chr1	205670538	205725653	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15130090	Likely pathogenic	RCV000585817.1;VCV000495282.1	medium
chr1	208869346	208869347	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786109	Pathogenic	RCV002829423.1;VCV002011333.1	small
chr1	208876503	208885426	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18787222	Likely pathogenic	RCV003122206.2;VCV002422611.2	medium
chr1	212128357	212130419	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790831	Likely pathogenic	RCV003116683.2;VCV002425888.2	medium
chr1	214687751	221211994	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15121050	Pathogenic	RCV000051874.5;VCV000058129.1	large
chr1	214869204	214875097	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172059	Likely pathogenic	RCV001377013.3;VCV001066101.3	medium
chr1	214879542	214891207	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790418	Likely pathogenic	RCV003114088.2;VCV002427758.2	medium
chr1	214887898	214891217	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17974018	Likely pathogenic	RCV002051175.4;VCV001349868.4	medium
chr1	214914483	214920779	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790430	Likely pathogenic	RCV003114101.2;VCV002427771.2	medium
chr1	214914507	214914508	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973102	Pathogenic	RCV002000150.2;VCV001453149.2	small
chr1	214968387	215118246	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973823	Likely pathogenic	RCV002039424.5;VCV001349994.5	medium
chr1	214968762	215007052	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16206492	Pathogenic	RCV001002686.1;VCV000812102.1	medium
chr1	214981731	214981933	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790411	Likely pathogenic	RCV003114080.2;VCV002427750.2	medium
chr1	214981731	215000235	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17171411	Pathogenic	RCV001382985.1;VCV001070737.1	medium
chr1	214981741	215000225	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15770626	Pathogenic	RCV000813319.5;VCV000656809.5	medium
chr1	214981751	215000215	2	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15130097;nssv16297091	Pathogenic	RCV000595998.4;VCV000503553.5;RCV001031047.2;VCV000989473.2	medium
chr1	215007043	215027235	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17974019	Likely pathogenic	RCV002051195.2;VCV001349945.2	medium
chr1	215078338	215084842	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16211913	Pathogenic	RCV001031561.5;VCV000830964.5	medium
chr1	215174877	215205769	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172058	Likely pathogenic	RCV001377012.3;VCV001066100.3	medium
chr1	215174877	215233472	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973822	Likely pathogenic	RCV002039401.2;VCV001349964.2	medium
chr1	215205587	215532727	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790414	Likely pathogenic	RCV003114083.2;VCV002427753.2	medium
chr1	215313641	215605303	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15129478	Pathogenic	RCV000678637.2;VCV000565301.2	medium
chr1	215415577	215605446	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973733	Likely pathogenic	RCV002035221.2;VCV001349510.2	medium
chr1	215472290	215491457	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790415	Likely pathogenic	RCV003114084.2;VCV002427754.2	medium
chr1	215562218	215568007	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973825	Likely pathogenic	RCV002039436.2;VCV001350013.2	medium
chr1	217639929	217640112	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17956529	Likely pathogenic	RCV001824398.12;VCV000831257.40	medium
chr1	234866735	234880400	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172046	Likely pathogenic	RCV001376904.4;VCV001066023.5	medium
chr1	235183827	235197727	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172213	Likely pathogenic	RCV001378511.3;VCV001067292.3	medium
