#ClinGen Region Curation Results
#26 Dec,2024
#Genomic Locations are reported on chm13 (hs1): GCA_009914755.4
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_region.cgi?id=key
#ISCA ID	ISCA Region Name	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
ISCA-46736	Xq21.1 population region (DGV_Gold_Standard_June_2021_gssvL136501)	Xq21.1	chrX:75351048-75354442	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-03		
ISCA-46735	Xp11.23 population region (DGV_Gold_Standard_June_2021_gssvL136075)	Xp11.23	chrX:47431071-47502859	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-03		
ISCA-46734	Xq28 population region (DGV_Gold_Standard_June_2021_gssvG41365)	Xq28	chrX:152418025-152468818	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-03		
ISCA-46732	22q11.23 population region (DGV_Gold_Standard_June_2021_gssvG24415)	22q11.23	chr22:25768327-25850417	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-03		
ISCA-46727	22q11.22 population region (DGV_Gold_Standard_June_2021_gssvL77120)	22q11.22	chr22:23304178-23319721	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-03		
ISCA-46726	22q11.23 population region (DGV_Gold_Standard_June_2021_gssvL77244)	22q11.23	chr22:24379517-24400021	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-03		
ISCA-46723	21q11.2 population region (DGV_Gold_Standard_June_2021_gssvL74506)	21q11.2	chr21:11929482-12173989	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46722	21q22.3 population region (DGV_Gold_Standard_June_2021_gssvL75982)	21q22.3	chr21:41904681-41909676	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46721	21q22.3 population region (DGV_Gold_Standard_June_2021_gssvL76000)	21q22.3	chr21:41905996-41907410	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46720	20p11.22 population region (DGV_Gold_Standard_June_2021_gssvL71898)	20p11.22	chr20:21562531-21572722	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46719	20q11.21 population region (DGV_Gold_Standard_June_2021_gssvL72187)	20q11.21	chr20:30494642-30521651	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46718	19p12 population region (DGV_Gold_Standard_June_2021_gssvL57428)	19p12	chr19:22042663-23100583	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46717	19q13.42 population region (DGV_Gold_Standard_June_2021_gssvG19479)	19q13.42	chr19:58868617-58877551	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46716	19p12 population region (DGV_Gold_Standard_June_2021_gssvL57316)	19p12	chr19:20549515-20680134	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46715	19p13.12 population region (DGV_Gold_Standard_June_2021_gssvL57062)	19p13.12	chr19:15742184-15801717	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46714	19q13.32 population region (DGV_Gold_Standard_June_2021_gssvL58890)	19q13.32	chr19:48946492-48952625	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46713	19q13.42 population region (DGV_Gold_Standard_June_2021_gssvL59370)	19q13.42	chr19:56515691-56552966	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46711	18p11.21 population region (DGV_Gold_Standard_June_2021_gssvG17388)	18p11.21	chr18:14595486-14726905	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46710	18q11.2 population region (DGV_Gold_Standard_June_2021_gssvL52661)	18q11.2	chr18:26362435-26366371	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46709	18p11.22 population region (DGV_Gold_Standard_June_2021_gssvL52196)	18p11.22	chr18:9947560-9956611	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46708	18p11.31 population region (DGV_Gold_Standard_June_2021_gssvL51911)	18p11.31	chr18:3728422-3731269	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46707	17q21.2 population region (DGV_Gold_Standard_June_2021_gssvG16538)	17q21.2	chr17:42231000-42239013	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46706	17q12 population region (DGV_Gold_Standard_June_2021_gssvG16427)	17q12	chr17:37123452-37144721	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46705	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16095)	17p11.2	chr17:18403330-18420192	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46704	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16067)	17p11.2	chr17:18405255-18467388	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46702	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16012)	17p11.2	chr17:16659845-16707214	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46701	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48488)	17p11.2	chr17:18403306-18420239	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46700	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48476)	17p11.2	chr17:18462105-18508630	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46698	17q12 population region (DGV_Gold_Standard_June_2021_gssvL49126)	17q12	chr17:37130287-37172097	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46697	17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49379)	17q21.2	chr17:42092869-42105943	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46694	17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49383)	17q21.2	chr17:42093844-42102057	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46691	16p12.2 population region (DGV_Gold_Standard_June_2021_gssvG14372)	16p12.2	chr16:21435490-21517867	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46690	16p13.3 population region (DGV_Gold_Standard_June_2021_gssvL41949)	16p13.3	chr16:1256696-1262039	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46689	16p12.1 population region (DGV_Gold_Standard_June_2021_gssvL43366)	16p12.1	chr16:25334414-25405575	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46688	15q11.2 population region (DGV_Gold_Standard_June_2021_gssvG12359)	15q11.2	chr15:19709198-19728423	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46687	15q13.2 population region (DGV_Gold_Standard_June_2021_gssvG12633)	15q13.2	chr15:27989172-28297115	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46684	14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12133)	14q32.33	chr14:101011668-101031227	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46683	14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12117)	14q32.33	chr14:100690954-100715421	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46682	14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12097)	14q32.33	chr14:99924219-99951824	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46680	14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10827)	14q11.2	chr14:14066831-14154601	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46679	14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10817)	14q11.2	chr14:13921564-14158112	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46678	14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33520)	14q11.2	chr14:13922034-14156536	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46672	13q12.11 population region (DGV_Gold_Standard_June_2021_gssvG9718)	13q12.11	chr13:20153886-20160112	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46670	13q21.1 population region (DGV_Gold_Standard_June_2021_gssvL30434)	13q21.1	chr13:56411226-56429654	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46669	12p13.31 population region (DGV_Gold_Standard_June_2021_gssvG7850)	12p13.31	chr12:8222994-8253266	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46666	12q23.3 population region (DGV_Gold_Standard_June_2021_gssvL26928)	12q23.3	chr12:104936852-104942007	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46665	12p11.1 population region (DGV_Gold_Standard_June_2021_gssvL24290)	12p11.1	chr12:34080592-34086242	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46664	12p11.23 population region (DGV_Gold_Standard_June_2021_gssvL23860)	12p11.23	chr12:27366681-27373469	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46661	12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23223)	12p13.2	chr12:10912406-10940220	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46658	11p15.1 population region (DGV_Gold_Standard_June_2021_gssvG6192)	11p15.1	chr11:19016656-19040113	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46657	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvG5957)	11p15.4	chr11:4299784-4322291	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46654	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16737)	11p15.4	chr11:4299268-4321954	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46651	11p15.1 population region (DGV_Gold_Standard_June_2021_gssvL17400)	11p15.1	chr11:19018310-19040426	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46650	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16961)	11p15.4	chr11:7846569-7871748	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46649	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16881)	11p15.4	chr11:5910678-5920169	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46648	11q22.2 population region (DGV_Gold_Standard_June_2021_gssvL21098)	11q22.2	chr11:102884145-102885901	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46647	11q13.4 population region (DGV_Gold_Standard_June_2021_gssvL19865)	11q13.4	chr11:72066486-72104827	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46646	11q11 population region (DGV_Gold_Standard_June_2021_gssvL19045)	11q11	chr11:55605056-55614787	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46645	11q11 population region (DGV_Gold_Standard_June_2021_gssvL19042)	11q11	chr11:55616512-55628581	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46644	10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13249)	10q22.1	chr10:70391208-70399393	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46643	10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13247)	10q22.1	chr10:70389117-70399604	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46642	10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12112)	10q11.22	chr10:48394023-48478200	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46641	10q11.23 population region (DGV_Gold_Standard_June_2021_gssvL12109)	10q11.23	chr10:50951596-51089160	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46640	10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12105)	10q11.22	chr10:47963981-48173724	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46639	10q11.22 population region (DGV_Gold_Standard_June_2021_gssvG4512)	10q11.22	chr10:47041417-47107481	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46638	10p12.1 population region (DGV_Gold_Standard_June_2021_gssvL11273)	10p12.1	chr10:27379439-27383363	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46635	9p11.2 population region (DGV_Gold_Standard_June_2021_gssvG38779)	9p11.2	chr9:44159435-44716224	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46633	9p12 population region (DGV_Gold_Standard_June_2021_gssvL130619)	9p12	chr9:78718623-78889134	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46632	9q31.1 population region (DGV_Gold_Standard_June_2021_gssvL132495)	9q31.1	chr9:116775219-116781125	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46631	8p23.1 population region (DGV_Gold_Standard_June_2021_gssvG36644)	8p23.1	chr8:7084041-7098880	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46630	8p23.1 population region (DGV_Gold_Standard_June_2021_gssvG36608)	8p23.1	chr8:6725879-6775305	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46625	7q22.1 population region (DGV_Gold_Standard_June_2021_gssvL117874)	7q22.1	chr7:103645970-103699431	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46624	7q34 population region (DGV_Gold_Standard_June_2021_gssvL119381)	7q34	chr7:144109144-144122790	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46623	7q34 population region (DGV_Gold_Standard_June_2021_gssvL119380)	7q34	chr7:144108044-144130103	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46620	7q11.23 population region (DGV_Gold_Standard_June_2021_gssvL116711)	7q11.23	chr7:76165917-76269952	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46619	7q11.21 population region (DGV_Gold_Standard_June_2021_gssvL116036)	7q11.21	chr7:64703448-64719723	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46618	7q11.21 population region (DGV_Gold_Standard_June_2021_gssvL115987)	7q11.21	chr7:64425663-64461996	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46617	7p11.2 population region (DGV_Gold_Standard_June_2021_gssvL115697)	7p11.2	chr7:57232116-57258124	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46616	7p14.1 population region (DGV_Gold_Standard_June_2021_gssvL115094)	7p14.1	chr7:38503844-38515021	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46615	7p22.1 population region (DGV_Gold_Standard_June_2021_gssvL113541)	7p22.1	chr7:6980341-7002810	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46614	6q13 population region (DGV_Gold_Standard_June_2021_gssvG32691)	6q13	chr6:75177473-75185592	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46613	6q13 population region (DGV_Gold_Standard_June_2021_gssvG32688)	6q13	chr6:75176414-75187076	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46605	5q13.2 population region (DGV_Gold_Standard_June_2021_gssvG30124)	5q13.2	chr5:70839516-70867098	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46604	5p15.33 population region (DGV_Gold_Standard_June_2021_gssvG29169)	5p15.33	chr5:720381-731302	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46602	5q22.1 population region (DGV_Gold_Standard_June_2021_gssvL101506)	5q22.1	chr5:112080541-112085650	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46601	5q35.3 population region (DGV_Gold_Standard_June_2021_gssvL104429)	5q35.3	chr5:181724024-181729647	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46600	5q35.3 population region (DGV_Gold_Standard_June_2021_gssvL104164)	5q35.3	chr5:179474621-179479460	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46599	5q31.3 population region (DGV_Gold_Standard_June_2021_gssvL102648)	5q31.3	chr5:141242552-141249862	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46597	4p16.1 population region (DGV_Gold_Standard_June_2021_gssvG27165)	4p16.1	chr4:9436783-9476046	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-06		
ISCA-46596	4p16.1 population region (DGV_Gold_Standard_June_2021_gssvL88361)	4p16.1	chr4:9481523-9510706	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46595	4p11 population region (DGV_Gold_Standard_June_2021_gssvL90109)	4p11	chr4:49133990-49206702	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46593	4q13.3 population region (DGV_Gold_Standard_June_2021_gssvL91223)	4q13.3	chr4:77760555-77801123	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46591	3p12.3 population region (DGV_Gold_Standard_June_2021_gssvL82434)	3p12.3	chr3:75570565-75586314	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46590	3p12.3 population region (DGV_Gold_Standard_June_2021_gssvL82397)	3p12.3	chr3:75415827-75648679	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46588	3q25.31 population region (DGV_Gold_Standard_June_2021_gssvL85294)	3q25.31	chr3:158534250-158554742	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46587	3q11.2 population region (DGV_Gold_Standard_June_2021_gssvL83307)	3q11.2	chr3:100872381-100904223	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46586	3q11.2 population region (DGV_Gold_Standard_June_2021_gssvL83303)	3q11.2	chr3:100863184-100908315	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46585	2q37.3 population region (DGV_Gold_Standard_June_2021_gssvL70815)	2q37.3	chr2:242438759-242580503	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46583	2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64514)	2p11.2	chr2:90677006-90680289	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46582	2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64458)	2p11.2	chr2:90561152-90577731	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46581	2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64445)	2p11.2	chr2:90766087-90792645	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46580	2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64421)	2p11.2	chr2:89168765-89222461	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46579	2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64418)	2p11.2	chr2:90561266-90619567	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46578	2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64414)	2p11.2	chr2:90522549-90568933	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46577	1q44 population region (DGV_Gold_Standard_June_2021_gssvL8958)	1q44	chr1:248031010-248033833	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46576	1q44 population region (DGV_Gold_Standard_June_2021_gssvL8766)	1q44	chr1:248032235-248073123	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46574	1q24.2 population region (DGV_Gold_Standard_June_2021_gssvL5980)	1q24.2	chr1:167406786-167407961	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46573	1q23.3 population region (DGV_Gold_Standard_June_2021_gssvL5778)	1q23.3	chr1:160944873-160972734	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46572	1q21.3 population region (DGV_Gold_Standard_June_2021_gssvL5433)	1q21.3	chr1:151719003-151739426	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46571	1q21.2 population region (DGV_Gold_Standard_June_2021_gssvL5166)	1q21.2	chr1:142785336-142795633	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46570	1q21.2 population region (DGV_Gold_Standard_June_2021_gssvL5133)	1q21.2	chr1:142729531-142781539	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46569	1q21.2 population region (DGV_Gold_Standard_June_2021_gssvL5122)	1q21.2	chr1:146365930-146423330	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46568	1p31.3 population region (DGV_Gold_Standard_June_2021_gssvL3013)	1p31.3	chr1:64250088-64264199	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46567	1p31.3 population region (DGV_Gold_Standard_June_2021_gssvL2940)	1p31.3	chr1:62067627-62070145	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46566	1p36.12 population region (DGV_Gold_Standard_June_2021_gssvL1420)	1p36.12	chr1:21810446-21833044	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46565	1p36.13 population region (DGV_Gold_Standard_June_2021_gssvL1195)	1p36.13	chr1:16398549-16401894	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46562	1p36.21 population region (DGV_Gold_Standard_June_2021_gssvL905)	1p36.21	chr1:12383553-12408436	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46561	1p36.21 population region (DGV_Gold_Standard_June_2021_gssvL891)	1p36.21	chr1:12370794-12426166	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46560	1p36.21 population region (DGV_Gold_Standard_June_2021_gssvL889)	1p36.21	chr1:12807663-12889247	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46559	1q21.3 population region (DGV_Gold_Standard_June_2021_gssvG2465)	1q21.3	chr1:151925563-151937610	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-06		
ISCA-46557	1p36.21 population region (DGV_Gold_Standard_June_2021_gssvG371)	1p36.21	chr1:12381765-12406391	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-06		
ISCA-46556	1p36.33 population region (DGV_Gold_Standard_June_2021_gssvG23)	1p36.33	chr1:204196-249636	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-06		
ISCA-46554	1p36.33 population region ((DGV_Gold_Standard_June_2021_gssvG23))	1p36.33	chr1:204196-249636	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-06		
ISCA-46553	3q24 Region (includes ZIC1)	3q24	chr3:139424907-151374349	3	Sufficient evidence for dosage pathogenicity	15338008	21204220	21471554	28503614	22067867		0	No evidence available							2021-07-19	MONDO:0000508	
ISCA-46551	Yq11.223 population region (gnomAD-SV_v2.1_DUP_Y_55049)	Yq11.223	chrY:22370376-22426666	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-03		
ISCA-46550	Xq28 population region (gnomAD-SV_v2.1_DEL_X_190964)	Xq28	chrX:154236642-154247834	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-03		
ISCA-46547	Xq26.3 population region (gnomAD-SV_v2.1_DEL_X_189893)	Xq26.3	chrX:134140070-134156275	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-03		
ISCA-46543	Xp11.23 population region (gnomAD-SV_v2.1_DUP_X_53157)	Xp11.23	chrX:48890264-48908158	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-03		
ISCA-46542	Xp11.23 population region (gnomAD-SV_v2.1_DUP_X_53155)	Xp11.23	chrX:48880286-48894662	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-03		
ISCA-46541	Xp11.23 population region (gnomAD-SV_v2.1_DUP_X_53151)	Xp11.23	chrX:48844376-48869952	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-03		
ISCA-46540	Xp11.23 population region (gnomAD-SV_v2.1_DUP_X_53149)	Xp11.23	chrX:48743159-48754216	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-03		
