#NR_SVs chm13
#chr	outermost_start	outermost_stop	variant_count	variant_type	method	analysis	platform	study	variant	clinical_assertion	clinvar_accession	bin_size
chr1	1560056	1957375	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18330301	Pathogenic	RCV002474561.1;VCV001808716.1	medium
chr1	1788479	2062108	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15170569	Pathogenic	RCV000748849.2;VCV000612213.2	medium
chr1	1845336	1852112	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16214228	Pathogenic	RCV001032823.1;VCV000832324.1	medium
chr1	1845346	1848458	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790124	Pathogenic	RCV003113780.2;VCV002427451.2	medium
chr1	1845346	1852102	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16211886	Pathogenic	RCV001031439.1;VCV000830835.1	medium
chr1	1845356	1846565	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973700	Likely pathogenic	RCV002033207.5;VCV001347847.5	medium
chr1	1848032	1848458	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790122	Pathogenic	RCV003113778.2;VCV002427449.2	medium
chr1	1849951	1852102	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790123	Pathogenic	RCV003113779.2;VCV002427450.2	medium
chr1	2242083	4242884	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15147034	Pathogenic	RCV000052073.5;VCV000058321.1	large
chr1	2344525	7538871	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146216	Pathogenic	RCV000051086.5;VCV000057390.1	large
chr1	2369717	6861953	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15147534	Pathogenic	RCV000141437.4;VCV000152936.1	large
chr1	2378498	6980209	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15141059	Pathogenic	RCV000510212.2;VCV000442741.2	large
chr1	2407291	4853258	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15145865	Pathogenic	RCV000137587.6;VCV000148513.2	large
chr1	2976926	7373994	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15121970	Pathogenic	RCV000053720.6;VCV000059852.1	large
chr1	3132613	4703960	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15170574	Pathogenic	RCV000748863.2;VCV000612227.2	large
chr1	3252666	8492545	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15124188	Pathogenic	RCV000450468.2;VCV000401539.2	large
chr1	3326980	3364030	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15771000	Pathogenic	RCV000823952.1;VCV000665628.1	medium
chr1	4012029	12498104	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15148632	Pathogenic	RCV000446359.3;VCV000395144.3	large
chr1	4412351	12455876	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15147373	Pathogenic	RCV000137461.5;VCV000148387.2	large
chr1	4412351	12498104	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15147184	Pathogenic	RCV000053724.6;VCV000059856.1	large
chr1	4419483	7578008	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15156716	Pathogenic	RCV000736366.2;VCV000599730.2	large
chr1	4727199	8050347	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15127106	Pathogenic	RCV000450248.2;VCV000401330.2	large
chr1	4967374	6496581	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18330121	Pathogenic	RCV002473853.1;VCV001808536.1	large
chr1	5397434	5404744	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17972721	Pathogenic	RCV001983058.5;VCV001460374.5	medium
chr1	5415333	5415533	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786657	Pathogenic	RCV003119502.2;VCV002426064.2	medium
chr1	5429083	5433719	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786658	Pathogenic	RCV003119503.2;VCV002426065.2	medium
chr1	5429242	5481871	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973894	Likely pathogenic	RCV002043785.3;VCV001519789.3	medium
chr1	5444092	5472391	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15776374	Pathogenic	RCV000849186.2;VCV000688495.2	medium
chr1	5715871	7414861	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17976898	Pathogenic	RCV002280713.1;VCV001703625.1	large
chr1	5993195	6003311	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16214298	Pathogenic	RCV001032933.1;VCV000832446.1	medium
chr1	5999646	6003311	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16212503	Pathogenic	RCV001033394.4;VCV000832925.4	medium
chr1	6313371	6415402	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973734	Pathogenic	RCV002035276.3;VCV001451348.3	medium
chr1	6322244	6371218	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786278	Pathogenic	RCV000030685.3;VCV000037008.2	medium
chr1	6557242	6691374	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15138932	Likely pathogenic	RCV000141891.4;VCV000153542.2	medium
chr1	6588272	6669661	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786276	Pathogenic	RCV000030683.4;VCV000037006.2	medium
chr1	6694369	12498104	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15147185	Pathogenic	RCV000053755.5;VCV000059884.1	large
chr1	6704899	7076473	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16208787	Pathogenic	RCV001005061.1;VCV000814049.1	medium
chr1	6800572	8902595	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15154023	Pathogenic	RCV000684545.1;VCV000565070.1	large
chr1	6861280	9258651	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15156375	Pathogenic	RCV000684546.1;VCV000565071.1	large
chr1	6863831	7108994	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15152111	Likely pathogenic	RCV000512335.2;VCV000443880.2	medium
chr1	6934211	7137153	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15134646	Likely pathogenic	RCV000137990.4;VCV000148928.2	medium
chr1	6995591	7761511	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18330308	Pathogenic	RCV002474568.1;VCV001808723.1	medium
chr1	7152976	7155975	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15155981	Pathogenic	RCV000735903.2;VCV000599309.2	medium
chr1	7465872	7501903	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17173256	Pathogenic	RCV001420678.1;VCV001098717.1	medium
chr1	7489747	7515833	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15120157	Pathogenic	RCV000007479.3;VCV000007063.1	medium
chr1	7493730	7508698	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18788675	Pathogenic	RCV003109631.2;VCV002425707.2	medium
chr1	7500267	7500366	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15144839	Likely pathogenic	RCV000708516.5;VCV000584372.5	medium
chr1	7815432	12014277	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133725	Pathogenic	RCV000135807.4;VCV000146535.2	large
chr1	7946620	9335415	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18330776	Likely pathogenic	RCV002472637.1;VCV001807831.1	large
chr1	7970000	8287173	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15131179	Pathogenic	RCV000681464.1;VCV000562002.1	medium
chr1	8598379	12210895	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133300	Pathogenic	RCV000133779.4;VCV000144297.2	large
chr1	8919444	8979049	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15142115	Likely pathogenic	RCV000511148.2;VCV000442373.2	medium
chr1	9335124	11393503	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16207702	Likely pathogenic	RCV001005065.1;VCV000814053.1	large
chr1	9510261	9525764	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172758	Pathogenic	RCV001384016.1;VCV001071528.1	medium
chr1	9510261	9528251	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789465	Pathogenic	RCV003111512.2;VCV002426776.2	medium
chr1	9515136	9515250	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16252163	Pathogenic	RCV001256654.1;VCV000978250.1	medium
chr1	9515136	9515270	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789463	Pathogenic	RCV003111510.2;VCV002426774.2	medium
chr1	9515136	9518840	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16252164	Pathogenic	RCV001256655.1;VCV000978251.1	medium
chr1	9515136	9518860	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789464	Pathogenic	RCV003111511.2;VCV002426775.2	medium
chr1	9518637	9524253	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17974989	Pathogenic	RCV001929292.3;VCV001426207.3	medium
chr1	9524074	9524253	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973233	Pathogenic	RCV002007343.3;VCV001451670.3	medium
chr1	9524074	9525764	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789466	Pathogenic	RCV003111513.1;VCV002426777.2	medium
chr1	9524074	9525784	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15151909	Pathogenic	RCV000526077.1;VCV000464669.1	medium
chr1	9789015	10180688	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15137133	Likely pathogenic	RCV000137438.4;VCV000148364.2	medium
chr1	10018575	10018630	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789879	Pathogenic	RCV003113531.2;VCV002425163.2	medium
chr1	10018575	10079931	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973803	Pathogenic	RCV002037918.2;VCV001453475.2	medium
chr1	10018575	10170980	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789881	Pathogenic	RCV003113533.2;VCV002425165.2	medium
chr1	10206489	12394932	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15149869	Likely pathogenic	RCV000510444.2;VCV000441991.2	large
chr1	10534288	10818504	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16215248	Likely pathogenic	RCV001194542.1;VCV000929342.1	medium
chr1	11174742	12319870	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15605764	Pathogenic	RCV000767547.1;VCV000625539.1	large
chr1	11334390	11335418	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17972703	Pathogenic	RCV001983029.2;VCV001460266.2	medium
chr1	11334390	11336471	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17972206	Pathogenic	RCV001970201.2;VCV001456126.2	medium
chr1	11334390	11340492	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17972027	Pathogenic	RCV001963190.4;VCV001459913.4	medium
chr1	11334959	11336683	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790626	Pathogenic	RCV003116466.2;VCV002425449.2	medium
chr1	11492076	11492207	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18788951	Pathogenic	RCV003110969.1;VCV002422835.4	medium
chr1	11493883	11496865	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15770199	Pathogenic	RCV000799415.7;VCV000645355.9	medium
chr1	11498930	11499033	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17971191	Pathogenic	RCV001951404.3;VCV001460062.4	medium
chr1	11507058	11510410	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973628	Likely pathogenic	RCV002028352.3;VCV001495782.4	medium
chr1	11512354	11515779	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15120196	Pathogenic	RCV000015445.28;VCV000014369.1	medium
chr1	11514872	11514999	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17972116	Likely pathogenic	RCV001966442.2;VCV001467572.3	medium
chr1	11533298	11549083	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790937	Pathogenic	RCV003116794.2;VCV002425996.2	medium
chr1	11541414	11543250	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15129328	Likely pathogenic	RCV000551788.2;VCV000476725.1	medium
chr1	11542885	11543250	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18790939	Pathogenic	RCV003116796.2;VCV002425998.2	medium
chr1	11542895	11543240	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17171832	Pathogenic	RCV001389783.1;VCV001076044.1	medium
chr1	11542905	11543230	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15123672	Pathogenic	RCV000195687.2;VCV000216110.1	medium
chr1	11551371	11552557	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17173071	Pathogenic	RCV001387128.3;VCV001073982.3	medium
chr1	12842207	14801590	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15136410	Likely pathogenic	RCV000138889.4;VCV000149960.2	large
chr1	14496065	15941542	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133940	Likely pathogenic	RCV000135597.4;VCV000146292.2	large
chr1	14883174	14891317	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15131627	Pathogenic	RCV000634004.1;VCV000528777.1	medium
chr1	14883180	15181601	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15145154	Pathogenic	RCV000708522.1;VCV000584380.1	medium
chr1	15215149	15386482	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18791322	Pathogenic	RCV003119472.1;VCV002426034.2	medium
chr1	15475361	15485184	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786260	Pathogenic	RCV000008036.3;VCV000007598.1	medium
chr1	15485764	15498337	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18792564	Pathogenic	RCV003156208.1;VCV002446052.1	medium
chr1	15485777	15498727	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17649972	Pathogenic	RCV001535964.2;VCV001179108.2	medium
chr1	15486995	15503493	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16216513	Pathogenic	RCV001195133.1;VCV000915980.1	medium
chr1	15566623	15647674	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789828	Pathogenic	RCV003113480.2;VCV002425113.3	medium
chr1	16768478	17257632	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17956443	Pathogenic	RCV001836603.1;VCV001341268.1	medium
chr1	16768853	21276239	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16255420	Pathogenic	RCV001259567.1;VCV000980391.1	large
chr1	16800094	16816219	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17971334	Pathogenic	RCV001953412.3;VCV001456750.3	medium
chr1	16801645	16803610	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16252225	Pathogenic	RCV001255980.2;VCV000978042.2	medium
chr1	16802137	16803024	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15770795	Pathogenic	RCV000817928.6;VCV000660676.6	medium
chr1	16814733	16816219	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17971666	Pathogenic	RCV001958737.3;VCV001458906.3	medium
chr1	16829151	16864607	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15123351	Pathogenic	RCV000227793.2;VCV000239419.1	medium
chr1	16829300	16829397	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15773956	Pathogenic	RCV000803920.2;VCV000649062.1	medium
chr1	16829300	16843582	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16213226	Pathogenic	RCV001031344.2;VCV000830735.1	medium
chr1	16829300	16855333	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16212917	Pathogenic	RCV001033948.2;VCV000833509.1	medium
chr1	16829300	16864466	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15773933	Pathogenic	RCV000800672.3;VCV000646398.2	medium
chr1	16829304	16843578	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15143998	Pathogenic	RCV000708149.2;VCV000583909.1	medium
chr1	16829304	16855329	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15130877	Pathogenic	RCV000537003.1;VCV000468230.1	medium
chr1	16829310	16829387	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17649897	Pathogenic	RCV001532114.9;VCV001176539.10	medium
chr1	16829310	16829397	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17171578	Pathogenic	RCV001385634.5;VCV001072823.10	medium
chr1	16829310	16843582	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17970714	Pathogenic	RCV001932317.6;VCV001362479.10	medium
chr1	16829310	16855333	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16213713	Pathogenic	RCV001032051.3;VCV000831498.2	medium
chr1	16829310	16855343	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17171579	Pathogenic	RCV001385635.2;VCV001072824.1	medium
chr1	16829310	16864456	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16212283	Pathogenic	RCV001033008.5;VCV000832529.10	medium
chr1	16829310	16881924	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15144731	Pathogenic	RCV000708235.2;VCV000584021.1	medium
chr1	16833001	16833059	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17968977	Pathogenic	RCV001999969.3;VCV001452759.3	medium
chr1	16833027	16834513	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17973835	Likely pathogenic	RCV002040406.4;VCV001508387.9	medium
chr1	16833027	16864456	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17971037	Pathogenic	RCV001950764.4;VCV001455650.9	medium
chr1	16840098	16848002	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16596344	Pathogenic	RCV000626322.3;VCV000523118.2	medium
chr1	16843477	16843582	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15144272	Pathogenic	RCV000707873.7;VCV000583569.12	medium
chr1	16843477	16864456	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789537	Pathogenic	RCV003113177.2;VCV002424596.1	medium
chr1	16843481	16843578	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15131625	Pathogenic	RCV000633991.3;VCV000528762.1	medium
chr1	16855186	16855333	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15773962	Pathogenic	RCV000804608.7;VCV000649629.12	medium
chr1	16855186	16864456	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18789536	Pathogenic	RCV003113176.3;VCV002424595.8	medium
chr1	16855196	16855323	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15128582	Pathogenic	RCV000471641.2;VCV000417581.1	medium
chr1	16859189	16874871	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15120191	Pathogenic	RCV000013635.25;VCV000018455.1	medium
chr1	16859191	16874869	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17976299	Pathogenic	RCV002247710.3;VCV001684628.2	medium
chr1	16860492	16880870	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15119728	Pathogenic	RCV000013636.22;VCV000018456.1	medium
chr1	16864375	16864466	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15143894	Pathogenic	RCV000707882.4;VCV000583582.3	medium
chr1	16864379	16864462	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15130924	Pathogenic	RCV000544511.4;VCV000468232.1	medium
chr1	18167943	22336598	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146488	Pathogenic	RCV000053789.5;VCV000059918.1	large
chr1	18692629	18694385	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18788299	Pathogenic	RCV003107739.2;VCV002424756.2	medium
chr1	18916857	19887014	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15119931	Pathogenic	RCV000053793.5;VCV000059922.1	medium
chr1	19042833	19075033	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17971515	Pathogenic	RCV001956184.3;VCV001458063.3	medium
chr1	19046137	19051003	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17972235	Pathogenic	RCV001972393.3;VCV001456458.3	medium
chr1	19056137	19058805	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17971719	Pathogenic	RCV001958892.5;VCV001459220.5	medium
chr1	19060652	19068580	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17968692	Pathogenic	RCV001941611.2;VCV001453913.2	medium
chr1	19063390	19067565	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786641	Likely pathogenic	RCV003119485.2;VCV002426047.2	medium
chr1	20307611	21099052	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146489	Pathogenic	RCV000053796.4;VCV000059925.1	medium
chr1	20471729	20471932	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18787852	Pathogenic	RCV003122867.2;VCV002427034.2	medium
chr1	20471739	20471922	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17171673	Pathogenic	RCV001387908.1;VCV001074575.1	medium
chr1	20473159	20477767	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146052	Pathogenic	RCV000002513.4;VCV000002412.1	medium
chr1	20474381	20475308	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18787851	Likely pathogenic	RCV003122866.2;VCV002427033.2	medium
