#ClinGen Gene Curation Results
#26 Dec,2024
#Genomic Locations are reported on chm13 (hs1): GCA_009914755.4
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
ALG6	29929	1p31.3	chr1:63243249-63314233	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011291	
ALK	238	2p23.2-p23.1	chr2:29236229-29965553	0	No evidence available							0	No evidence available							2019-12-20		
ALMS1	7840	2p13.1	chr2:73398811-73638263	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008763	
ALS2	57679	2q33.1	chr2:202180871-202263027	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008763	
ALX4	60529	11p11.2	chr11:44415783-44465465	3	Sufficient evidence for dosage pathogenicity	11137991	11106354	16319823				0	No evidence available							2020-07-22	MONDO:0012309	
AMH	268	19p13.3	chr19:2222952-2225716	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009857	
AMN	81693	14q32.32	chr14:97158908-97169841	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0100156	
ANGPTL3	27329	1p31.3	chr1:62476065-62484858	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011505	
ANKH	56172	5p15.2	chr5:14644272-14811218	0	No evidence available	11326338	22150416	20186813	23390136			0	No evidence available							2022-02-23		
ANKRD11	29123	16q24.3	chr16:95347957-95571214	3	Sufficient evidence for dosage pathogenicity	21782149	35330407	28422132				0	No evidence available							2022-06-14	MONDO:0007846	
ANKRD17	26057	4q13.3	chr4:76416991-76602444	3	Sufficient evidence for dosage pathogenicity	33909992						0	No evidence available							2023-04-11	MONDO:0000508	
ANKRD26	22852	10p12.1	chr10:27003905-27130615	0	No evidence available							0	No evidence available							2023-10-10	MONDO:0008555	MONDO:0008555
ANKS6	203286	9q22.33	chr9:110902989-110968615	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014158	
ANOS1	3730	Xp22.31	chrX:8095953-8299248	3	Sufficient evidence for dosage pathogenicity	28122887	12050219	24232061	21717404	25328414	18463157	0	No evidence available	18657637						2021-05-26	MONDO:0010635	
ANTXR2	118429	4q21.21	chr4:83237562-83455749	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009229	
AP1S2	8905	Xp22.2	chrX:15408728-15437845	3	Sufficient evidence for dosage pathogenicity	17186471	17617514	18428203	23756445	30383884	25649377	0	No evidence available							2021-04-28	MONDO:0010574	
AP4B1	10717	1p13.2	chr1:113905856-113916863	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013551	
AP4S1	11154	14q12	chr14:25222939-25328822	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013552	
APC	324	5q22.2	chr5:113218062-113356772	3	Sufficient evidence for dosage pathogenicity	1651174	10051640	23159591				0	No evidence available							2021-07-18	MONDO:0021056	
APOB	338	2p24.1	chr2:21034648-21077293	3	Sufficient evidence for dosage pathogenicity	27179706	1527480	2843815				0	No evidence available							2020-04-09	MONDO:0014252	
APOC2	344	19q13.32	chr19:47770859-47774393	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008810	
AR	367	Xq12	chrX:65973852-66160479	3	Sufficient evidence for dosage pathogenicity	22334387	27994190	30742848				0	No evidence available							2020-12-08	MONDO:0019154	
ARCN1	372	11q23.3	chr11:118591675-118622309	3	Sufficient evidence for dosage pathogenicity	27476655	33154040	31075182	35300924			0	No evidence available							2022-05-10	MONDO:0014948	
ARFGEF2	10564	20q13.13	chr20:50690875-50806194	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011966	
ARG1	383	6q23.2	chr6:132665292-132778807	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008814	
ARHGAP31	57514	3q13.32-q13.33	chr3:122014089-122140425	0	No evidence available							0	No evidence available							2023-06-13		
ARHGEF4	50649	2q21.1	chr2:131271158-131481556	0	No evidence available							0	No evidence available							2018-04-05		
ARHGEF6	9459	Xq26.3	chrX:134974273-135089655	0	No evidence available							0	No evidence available							2012-04-25		
ARHGEF9	23229	Xq11.1	chrX:62060231-62234548	3	Sufficient evidence for dosage pathogenicity	18615734	21633362	25898924	28589176	30048823	31942680	0	No evidence available							2021-11-24	MONDO:0100148	
ARID1A	8289	1p36.11	chr1:26531180-26620059	3	Sufficient evidence for dosage pathogenicity	22426308	23929686	23906836				0	No evidence available							2020-05-27	MONDO:0013819	
ARID1B	57492	6q25.3	chr6:157978271-158414307	3	Sufficient evidence for dosage pathogenicity	22426308	21801163	22405089	22426309	26376624	30349098	0	No evidence available							2021-05-26	MONDO:0007617	
ARID2	196528	12q12	chr12:45688334-45867624	3	Sufficient evidence for dosage pathogenicity	29698805	26238514	28124119				0	No evidence available							2019-06-26	MONDO:0033492	
ARL6	84100	3q11.2	chr3:100468299-100504993	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010832	
ARL6IP1	23204	16p12.3	chr16:18728104-18738008	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014304	
ARSA	410	22q13.33	chr22:51133297-51138684	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-09-05	MONDO:0009591	
ARSD	414	Xp22.33	chrX:2516466-2541827	0	No evidence available							0	No evidence available							2016-07-21		
ARX	170302	Xp21.3	chrX:24587932-24600657	3	Sufficient evidence for dosage pathogenicity	12379852	14722918					0	No evidence available							2019-12-05	MONDO:0010268	
ASAH1	427	8p22	chr8:18323470-18352451	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-09-11	MONDO:0009218	
ASH1L	55870	1q22	chr1:154473797-154701715	3	Sufficient evidence for dosage pathogenicity	28191889	25363760	28263302				0	No evidence available							2017-12-27	MONDO:0100038	
ASL	435	7q11.21	chr7:67297887-67316786	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008815	
ASPA	443	17p13.2	chr17:3361277-3392307	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010079	
ASPH	444	8q12.3	chr8:61924301-62138371	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011106	
ASPM	259266	1q31.3	chr1:196345945-196408518	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0016660	
ASTN2	23245	9q33.1	chr9:128616101-129608897	1	Little evidence for dosage pathogenicity	24381304	32094338	21832240	19809473	18940311	30242134	0	No evidence available							2021-03-09	MONDO:0100038	
ASXL1	171023	20q11.21	chr20:34083214-34164178	3	Sufficient evidence for dosage pathogenicity	21706002	22419483					0	No evidence available							2013-03-14	MONDO:0011510	
ASXL2	55252	2p23.3	chr2:25769050-25913813	0	No evidence available							0	No evidence available							2018-06-28		
ASXL3	80816	18q12.1	chr18:33769917-33942920	3	Sufficient evidence for dosage pathogenicity	23383720	26647312	27901041				0	No evidence available							2017-11-22	MONDO:0014205	
ATCAY	85300	19p13.3	chr19:3859054-3907372	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011025	
ATF6	22926	1q23.3	chr1:161110626-161321882	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-12	MONDO:0014677	
ATM	472	11q22.3	chr11:108230586-108376596	3	Sufficient evidence for dosage pathogenicity	3574400	27595995	15928302				0	No evidence available							2020-04-08	MONDO:0008840	
ATP10A	57194	15q12	chr15:23415056-23605780	0	No evidence available							0	No evidence available							2012-04-24		
ATP13A2	23400	1p36.13	chr1:16796381-16822349	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011706	
ATP2A1	487	16p11.2	chr16:29158905-29184960	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010977	
ATP2C2	9914	16q24.1	chr16:90434925-90530568	0	No evidence available	25296922						0	No evidence available							2018-09-17		
ATP6AP2	10159	Xp11.4	chrX:39980934-40008405	0	No evidence available							0	No evidence available							2012-10-31		
ATP6V0A2	23545	12q24.31	chr12:123711219-123760679	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0018163	
ATP6V0A4	50617	7q34	chr7:140018750-140112440	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011268	
ATP6V1E1	529	22q11.21	chr22:18259880-18296493	0	No evidence available							0	No evidence available							2012-04-26		
ATP7A	538	Xq21.1	chrX:76345712-76485475	3	Sufficient evidence for dosage pathogenicity	14635105	32994893					0	No evidence available							2021-03-24	MONDO:0010651	
ATP7B	540	13q14.3	chr13:51145106-51226941	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-12	MONDO:0010200	
ATP8A2	51761	13q12.13	chr13:24581610-25239722	30	Gene associated with autosomal recessive phenotype	29531481	35321980	31069529	35872528	30012219		0	No evidence available							2023-03-28	MONDO:0014104	
ATPAF2	91647	17p11.2	chr17:17924086-17986012	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011421	
ATR	545	3q23	chr3:145196291-145326002	1	Little evidence for dosage pathogenicity	30159786	26556299	29439820				0	No evidence available							2020-06-05	MONDO:0013806	
ATRX	546	Xq21.1	chrX:75942420-76223787	3	Sufficient evidence for dosage pathogenicity	7697714						0	No evidence available							2012-07-31	MONDO:0010519	
AUTS2	26053	7q11.22	chr7:70821079-72017159	3	Sufficient evidence for dosage pathogenicity	22872102	23332918	23650183				0	No evidence available							2020-06-24	MONDO:0014361	
AVPR2	554	Xq28	chrX:152176206-152180878	3	Sufficient evidence for dosage pathogenicity	10820168	23150186	29594432				0	No evidence available							2021-02-01	MONDO:0010581	
AXIN2	8313	17q24.1	chr17:66399210-66432273	3	Sufficient evidence for dosage pathogenicity	34637023	32807118	30671715	15042511	21416598	28195393	0	No evidence available							2021-12-08	MONDO:0012075	
B3GALNT2	148789	1q42.3	chr1:234843084-234900322	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014071	
B3GALT6	126792	1p36.33	chr1:660694-663498	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010075	
B4GALT1	2683	9p21.1	chr9:33120641-33185989	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011772	
B4GALT7	11285	5q35.3	chr5:178142412-178152606	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0020682	
B9D1	27077	17p11.2	chr17:19282355-19326228	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014927	
BAG3	9531	10q26.11	chr10:120548963-120575488	3	Sufficient evidence for dosage pathogenicity	21353195	25008357	21459883				0	No evidence available							2015-02-12	MONDO:0013479	
BARD1	580	2q35	chr2:215210222-215294270	3	Sufficient evidence for dosage pathogenicity	20077502	20842729	21344236; 25994375				0	No evidence available							2020-05-01	MONDO:0016419	
BBS12	166379	4q27	chr4:126036801-126049042	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014440	
BBS5	129880	2q31.1	chr2:169956093-169983895	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-10-11	MONDO:0014434	
BBS7	55212	4q27	chr4:125128381-125174535	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014435	
BCAP31	10134	Xq28	chrX:151974158-151998228	3	Sufficient evidence for dosage pathogenicity	31953925	33603160	32652807	32681719	24011989	28332767	0	No evidence available							2023-08-08	MONDO:0010334	
BCHE	590	3q26.1	chr3:168555830-168620639	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0015270	
BCKDHB	594	6q14.1	chr6:81315054-81554684	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009563	
BCKDK	10295	16p11.2	chr16:31493568-31500252	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013970	
BCL11A	53335	2p16.1	chr2:60456325-60560305	3	Sufficient evidence for dosage pathogenicity	27453576	25938782	25979662				0	No evidence available							2017-04-13	MONDO:0014914	
BCL2L11	10018	2q13	chr2:111542442-111591507	0	No evidence available							0	No evidence available							2018-06-21		
BCLAF1	9774	6q23.3	chr6:137444735-137477963	1	Little evidence for dosage pathogenicity	28263302	25262651					0	No evidence available							2018-06-28		
BCOR	54880	Xp11.4	chrX:39451060-39578567	3	Sufficient evidence for dosage pathogenicity	19367324	15770227					0	No evidence available							2012-10-04	MONDO:0010261	
BCR	613	22q11.23	chr22:23602562-23740899	0	No evidence available							0	No evidence available							2012-07-10		
BCS1L	617	2q35	chr2:219145321-219150000	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009872	
BIN1	274	2q14.3	chr2:127482412-127541679	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009709	
BLM	641	15q26.1	chr15:88475676-88575539	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2022-02-09	MONDO:0008876	
BLNK	29760	10q24.1	chr10:97068476-97150895	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013289	
BMPER	168667	7p14.3	chr7:34044049-34296293	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011946	
BMPR1A	657	10q23.2	chr10:87640671-87816577	3	Sufficient evidence for dosage pathogenicity	11381269	15235019	23399955				0	No evidence available							2020-06-24	MONDO:0017380	
BMPR2	659	2q33.1-q33.2	chr2:202857368-203049014	3	Sufficient evidence for dosage pathogenicity	10903931	11015450					0	No evidence available							2020-08-26	MONDO:0024533	
BPHL	670	6p25.2	chr6:2986413-3020798	40	Dosage sensitivity unlikely	32487729	22344438	28406212	32461654			0	No evidence available							2021-02-02		
BPNT2	54928	8q12.1	chr8:57335005-57370940	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013561	
BPTF	2186	17q24.2	chr17:68700733-68859565	3	Sufficient evidence for dosage pathogenicity	28942966	33522091					0	No evidence available							2022-07-12	MONDO:0000508	
BPY2	9083	Yq11.223	chrY:25843297-25874944	0	No evidence available							0	No evidence available							2012-08-22		
BRAF	673	7q34	chr7:142033504-142239131	1	Little evidence for dosage pathogenicity	21862832						0	No evidence available							2014-08-04		
BRAT1	221927	7p22.3	chr7:2651326-2669288	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013784	
BRCA1	672	17q21.31	chr17:43902857-44029002	3	Sufficient evidence for dosage pathogenicity	32375709	21989022	11802209	24312913			0	No evidence available							2021-09-23	MONDO:0700268	
BRCA2	675	13q13.1	chr13:31532331-31617510	3	Sufficient evidence for dosage pathogenicity	16199546	17063271	25632310	12097290	11897832	12569143	0	No evidence available							2021-07-14	MONDO:0012933	
BRIP1	83990	17q23.2	chr17:62547944-62732500	3	Sufficient evidence for dosage pathogenicity	29368626	26720728	26315354				0	No evidence available							2019-02-15	MONDO:0016419	
BRPF1	7862	3p25.3	chr3:9723687-9739974	3	Sufficient evidence for dosage pathogenicity	27939640	27939639	31020800	32010779	35243762	37190896	0	No evidence available							2023-08-23	MONDO:0015022	
BRWD3	254065	Xq21.1	chrX:79103281-79243651	3	Sufficient evidence for dosage pathogenicity	17668385	24462886	28475857	31714006	30628072		0	No evidence available							2022-08-24	MONDO:0100284	
BSND	7809	1p32.3	chr1:54879168-54898082	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-05-17	MONDO:0011242	
BTD	686	3p25.1	chr3:15603660-15724629	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-05-21	MONDO:0009665	
BTK	695	Xq22.1	chrX:99793568-99834908	3	Sufficient evidence for dosage pathogenicity	16159644	27512878	32169379				0	No evidence available							2021-03-24	MONDO:0010421	
BUB1B	701	15q15.1	chr15:37967910-38028008	30	Gene associated with autosomal recessive phenotype	15475955	16411201	28611924	26658419	27239782		0	No evidence available							2022-02-01	MONDO:0009759	
C19orf12	83636	19q12	chr19:32224679-32241529	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013674	
C1QB	713	1p36.12	chr1:22477772-22486577	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-17	MONDO:0013343	
C8orf37	157657	8q22.1	chr8:96370169-96394457	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013786	
